n_players,n_werewolves,n_sims,remaining_players,remaining_townspeople,remaining_werewolves,werewolf_win_percent
3,1,50,2,0.62,0.88,0.88
4,1,50,2.06,0.92,0.66,0.66
5,1,50,2.38,1.38,0.66,0.66
5,2,50,3.72,1.28,1.8,0.94
6,1,50,2.44,1.6,0.46,0.46
6,2,50,3.42,1.34,1.62,0.92
7,1,50,2.64,1.56,0.62,0.62
7,2,50,3.28,1.4,1.5,0.9
7,3,50,5.88,2.12,2.94,1
8,1,50,2.9,2.08,0.48,0.48
8,2,50,2.96,1.54,1.22,0.8
8,3,50,4.38,1.8,2.04,0.88
9,1,50,3.04,2.04,0.56,0.56
9,2,50,3.34,1.62,1.38,0.84
9,3,50,4.72,1.92,2.3,0.96
9,4,50,8,3.14,4,1
10,1,50,3.84,3,0.36,0.36
10,2,50,3.18,1.7,1.28,0.84
10,3,50,4.22,1.94,1.96,0.88
10,4,50,6.72,2.74,3.32,0.96
11,1,50,3.8,3.12,0.4,0.4
11,2,50,3.4,1.9,1.14,0.74
11,3,50,4.38,2.04,2.12,0.96
11,4,50,6.4,2.84,3.2,1
11,5,50,9.72,4.1,4.84,0.98
12,1,50,4.2,3.44,0.34,0.34
12,2,50,2.78,1.56,1.06,0.76
12,3,50,3.7,1.84,1.6,0.78
12,4,50,5.2,2.4,2.46,0.92
12,5,50,7.86,3.44,3.88,0.96
13,1,50,4.02,3.24,0.48,0.48
13,2,50,3.4,2.08,1.04,0.7
13,3,50,3.86,1.9,1.74,0.88
13,4,50,5.9,2.66,2.88,0.96
13,5,50,8.34,3.74,4.14,0.98
13,6,50,11.92,5.06,5.96,1
14,1,50,4.56,3.8,0.38,0.38
14,2,50,3.16,2.04,0.88,0.68
14,3,50,3.76,1.92,1.62,0.82
14,4,50,5.32,2.46,2.58,0.94
14,5,50,7.5,3.4,3.68,0.94
14,6,50,10.52,4.64,5.26,1
15,1,50,5.66,4.94,0.34,0.34
15,2,50,3.98,3,0.78,0.56
15,3,50,4.02,2.3,1.46,0.72
15,4,50,5.42,2.56,2.66,0.96
15,5,50,6.72,2.98,3.32,0.98
15,6,50,10.2,4.42,5.1,1
15,7,50,14,6.12,7,1
16,1,50,6.08,5.28,0.32,0.32
16,2,50,3.2,2.32,0.7,0.56
16,3,50,3.88,2.14,1.56,0.76
16,4,50,4.88,2.42,2.3,0.9
16,5,50,6.94,3.18,3.44,0.98
16,6,50,9.54,4.28,4.72,0.98
16,7,50,12.32,5.56,6.16,1
17,1,50,4.76,4.1,0.4,0.4
17,2,50,3.84,2.76,0.82,0.6
17,3,50,3.66,2.18,1.36,0.76
17,4,50,5.4,2.6,2.62,0.96
17,5,50,7.52,3.4,3.7,0.98
17,6,50,8.98,4.12,4.44,0.98
17,7,50,12.76,5.8,6.38,1
17,8,50,15.92,7.06,7.96,1
18,1,50,5.8,5.14,0.26,0.26
18,2,50,3.64,2.7,0.72,0.58
18,3,50,3.74,2.18,1.48,0.8
18,4,50,4.7,2.22,2.26,0.94
18,5,50,6.08,2.9,2.94,0.96
18,6,50,8.28,3.88,4.12,0.98
18,7,50,11.32,5.14,5.66,1
18,8,50,14.68,6.54,7.34,1
19,1,50,6.48,5.82,0.42,0.42
19,2,50,3.38,2.46,0.78,0.62
19,3,50,3.56,2.18,1.34,0.78
19,4,50,4.74,2.46,2.12,0.86
19,5,50,6.1,2.92,2.96,0.94
19,6,50,8.12,3.72,4.04,0.98
19,7,50,10.88,4.96,5.44,1
19,8,50,14.4,6.58,7.2,1
19,9,50,18,8.12,9,1
20,1,50,7.06,6.52,0.2,0.2
20,2,50,3.7,2.78,0.66,0.52
20,3,50,4.42,3.28,1,0.56
20,4,50,4.6,2.24,2.18,0.9
20,5,50,6.42,3.08,3.14,0.94
20,6,50,7.76,3.58,3.78,0.92
20,7,50,8.88,4.08,4.4,0.96
20,8,50,13.28,6.08,6.64,1
20,9,50,16.32,7.38,8.16,1
21,1,50,8.12,7.4,0.3,0.3
21,2,50,4.24,3.44,0.68,0.52
21,3,50,3.96,2.62,1.2,0.7
21,4,50,4.88,2.46,2.28,0.9
21,5,50,5.94,2.84,2.88,0.94
21,6,50,7,3.24,3.46,0.96
21,7,50,10.16,4.72,5.08,1
21,8,50,12.48,5.82,6.2,0.96
21,9,50,15.76,7.18,7.88,1
21,10,50,19.96,9.1,9.98,1
22,1,50,7.78,7.2,0.18,0.18
22,2,50,5.54,4.66,0.54,0.4
22,3,50,3.72,2.56,1.06,0.58
22,4,50,4.08,1.98,1.94,0.94
22,5,50,5.38,2.7,2.44,0.86
22,6,50,6.62,3.22,3.18,0.92
22,7,50,9.36,4.46,4.62,0.94
22,8,50,12,5.56,6,1
22,9,50,15.44,7,7.7,0.98
22,10,50,17.8,8.08,8.9,1
23,1,50,8.16,7.52,0.26,0.26
23,2,50,4.46,3.74,0.54,0.46
23,3,50,3.92,2.5,1.36,0.72
23,4,50,4.36,2.24,1.96,0.86
23,5,50,5.5,2.74,2.62,0.92
23,6,50,6.72,3.12,3.26,0.94
23,7,50,9.84,4.62,4.92,1
23,8,50,11.64,5.42,5.82,1
23,9,50,15.36,7.04,7.68,1
23,10,50,18.2,8.48,9.1,1
23,11,50,22,10.06,11,1
24,1,50,7.98,7.4,0.26,0.26
24,2,50,4.3,3.52,0.62,0.52
24,3,50,3.5,2.24,1.14,0.7
24,4,50,3.9,2.16,1.62,0.74
24,5,50,5.22,2.74,2.32,0.76
24,6,50,6.66,3.28,3.28,0.94
24,7,50,9.24,4.32,4.62,1
24,8,50,10.96,5.14,5.48,1
24,9,50,13.36,6.34,6.68,1
24,10,50,16.8,7.82,8.4,1
24,11,50,20.12,9.28,10.06,1
25,1,50,9.1,8.44,0.26,0.26
25,2,50,3.96,2.94,0.78,0.58
25,3,50,4.04,2.82,1.04,0.56
25,4,50,3.88,2,1.68,0.86
25,5,50,5.74,2.88,2.64,0.88
25,6,50,6.54,3.16,3.14,0.9
25,7,50,9.2,4.42,4.54,0.96
25,8,50,10.44,4.92,5.2,0.98
25,9,50,13.88,6.5,6.94,1
25,10,50,16.96,7.88,8.48,1
25,11,50,20.16,9.28,10.08,1
25,12,50,23.88,10.98,11.94,1
26,1,50,9.74,9.12,0.26,0.14
26,2,50,3.96,3.12,0.64,0.34
26,3,50,4.04,2.68,1.2,0.6
26,4,50,3.7,2.24,1.4,0.58
26,5,50,5.08,2.76,2.12,0.7
26,6,50,6.04,2.94,3,0.98
26,7,50,8.2,3.96,4,0.94
26,8,50,9.72,4.58,4.84,0.98
26,9,50,12.08,5.72,6.04,1
26,10,50,14.8,7.06,7.4,1
26,11,50,18.2,8.44,9.1,1
26,12,50,22.68,10.48,11.34,1
27,1,50,8.12,7.48,0.34,0.02
27,2,50,5.92,4.96,0.78,0.18
27,3,50,4.24,2.82,1.28,0.42
27,4,50,4.68,2.58,1.98,0.58
27,5,50,5.32,2.92,2.34,0.7
27,6,50,6.18,3.08,2.96,0.84
27,7,50,8.3,4.04,4.1,0.94
27,8,50,10.14,4.84,5,0.94
27,9,50,13.32,6.36,6.66,1
27,10,50,15.92,7.44,7.94,0.98
27,11,50,18.32,8.52,9.16,1
27,12,50,22.16,10.34,11.08,1
27,13,50,26,12.04,13,1
28,1,50,11.06,10.42,0.3,0
28,2,50,6.88,5.94,0.68,0.1
28,3,50,5.14,3.84,1.14,0.18
28,4,50,5,3.32,1.5,0.38
28,5,50,5.5,3.36,2.04,0.52
28,6,50,6.9,3.62,3.1,0.7
28,7,50,8.44,4.18,4.1,0.9
28,8,50,8.92,4.38,4.36,0.9
28,9,50,11.92,5.72,5.96,1
28,10,50,13.86,6.52,6.9,0.98
28,11,50,17.28,8.1,8.64,1
28,12,50,21.48,10.18,10.74,1
28,13,50,23.88,11.06,11.94,1
29,1,50,10.94,10.26,0.4,0
29,2,50,6.64,5.48,0.94,0.02
29,3,50,6.34,5,1.18,0.04
29,4,50,5.9,3.92,1.88,0.22
29,5,50,6.38,3.66,2.5,0.42
29,6,50,7.06,3.72,3.16,0.7
29,7,50,8.54,4.32,4.04,0.8
29,8,50,9.9,4.8,4.78,0.82
29,9,50,11.42,5.48,5.62,0.92
29,10,50,14.6,6.94,7.28,0.98
29,11,50,17.1,8.04,8.54,0.98
29,12,50,20.08,9.42,10.04,1
29,13,50,23.48,11,11.74,1
29,14,50,28,13.08,14,1
30,1,50,11.04,10.28,0.46,0
30,2,50,8.88,7.96,0.58,0
30,3,50,6.7,5.24,1.22,0
30,4,50,6.6,4.62,1.76,0.1
30,5,50,6.66,4.18,2.28,0.32
30,6,50,7.6,4.3,3.1,0.46
30,7,50,8.92,4.62,4.04,0.72
30,8,50,9.82,4.9,4.62,0.8
30,9,50,11.64,5.66,5.68,0.9
30,10,50,14.52,6.92,7.22,0.98
30,11,50,15.56,7.4,7.78,1
30,12,50,19.76,9.38,9.88,1
30,13,50,22.12,10.36,11.06,1
30,14,50,26.52,12.42,13.26,1
31,1,50,11.62,10.76,0.52,0
31,2,50,8.36,7.08,1.02,0
31,3,50,8.16,6.62,1.18,0
31,4,50,7.5,5.46,1.84,0.08
31,5,50,7.7,5,2.56,0.2
31,6,50,7.9,4.72,3,0.36
31,7,50,9.06,4.86,3.96,0.54
31,8,50,10.34,5.22,4.8,0.76
31,9,50,12.56,6,6.16,0.88
31,10,50,14.52,6.9,7.24,0.96
31,11,50,15.64,7.36,7.82,1
31,12,50,18.68,8.92,9.32,0.98
31,13,50,21.8,10.42,10.9,1
31,14,50,25.84,12.18,12.92,1
31,15,50,30,14.04,15,1
32,1,50,12.02,11.18,0.58,0
32,2,50,9.62,8.34,1.08,0
32,3,50,8.98,7.26,1.52,0
32,4,50,8.74,6.38,2.04,0.06
32,5,50,8.5,5.86,2.36,0.08
32,6,50,8.52,5.4,2.9,0.2
32,7,50,9.16,5.2,3.64,0.4
32,8,50,9.98,5.26,4.58,0.7
32,9,50,10.92,5.52,5.06,0.7
32,10,50,12.48,6.28,5.96,0.78
32,11,50,14.7,7.3,7.18,0.84
32,12,50,18.1,8.72,8.98,0.94
32,13,50,21.44,10.14,10.72,1
32,14,50,24.48,11.42,12.24,1
32,15,50,28.48,13.34,14.24,1
33,1,50,12.68,11.7,0.62,0
33,2,50,10.82,9.42,1.08,0
33,3,50,9.44,7.42,1.66,0
33,4,50,9.82,7.7,1.86,0
33,5,50,9.36,6.46,2.66,0.04
33,6,50,9.62,6.12,3.3,0.16
33,7,50,9.72,5.78,3.78,0.34
33,8,50,10.78,5.7,4.76,0.58
33,9,50,12.16,6.2,5.66,0.66
33,10,50,13.54,6.5,6.64,0.86
33,11,50,15.9,7.64,7.88,0.9
33,12,50,18.24,8.8,9.06,0.94
33,13,50,22.6,10.66,11.3,1
33,14,50,24.96,11.8,12.48,1
33,15,50,28.6,13.52,14.3,1
33,16,50,31.88,15,15.94,1
34,1,50,14.16,13.16,0.6,0
34,2,50,11.5,10.18,0.98,0
34,3,50,10.3,8.62,1.52,0
34,4,50,10.32,7.92,2.1,0
34,5,50,10.38,7.12,2.9,0.04
34,6,50,10.56,7,3.26,0.12
34,7,50,10.58,6.62,3.7,0.18
34,8,50,10.92,6.14,4.54,0.36
34,9,50,11.54,6.52,4.72,0.36
34,10,50,13.62,7.04,6.28,0.7
34,11,50,14.58,7.1,7.16,0.9
34,12,50,17.14,8.18,8.44,0.92
34,13,50,21.44,10.22,10.72,1
34,14,50,22.76,10.84,11.38,1
34,15,50,25.32,11.88,12.66,1
34,16,50,30,14.24,15,1
35,1,50,16.04,15.12,0.48,0
35,2,50,12.08,10.76,1.06,0
35,3,50,11.46,9.44,1.7,0
35,4,50,11.18,8.74,2.16,0
35,5,50,11.24,7.8,3.08,0
35,6,50,11.24,7.78,3.32,0
35,7,50,11.54,7.28,4.02,0.14
35,8,50,11.88,6.74,4.82,0.34
35,9,50,12.58,7.04,5.32,0.54
35,10,50,13.84,7.12,6.52,0.7
35,11,50,15.96,7.92,7.8,0.82
35,12,50,17.48,8.54,8.54,0.88
35,13,50,20.46,9.72,10.2,0.96
35,14,50,23.22,10.96,11.6,0.98
35,15,50,26.52,12.62,13.26,1
35,16,50,29.92,14.2,14.96,1
35,17,50,34,16.08,17,1
36,1,50,18.8,17.74,0.5,0
36,2,50,13.58,12.08,1.2,0
36,3,50,12.42,10.2,1.82,0
36,4,50,12.46,9.6,2.56,0
36,5,50,12.36,9.18,2.86,0
36,6,50,12.46,8.86,3.28,0.02
36,7,50,12.22,7.78,4.18,0.04
36,8,50,12.42,7.34,4.74,0.24
36,9,50,12.58,7.32,4.98,0.24
36,10,50,14.04,7.28,6.38,0.58
36,11,50,15,7.7,7.06,0.64
36,12,50,16.8,8.3,8.16,0.82
36,13,50,18.88,9.06,9.34,0.92
36,14,50,21.64,10.36,10.8,0.98
36,15,50,24.84,11.96,12.4,0.98
36,16,50,28.12,13.3,14.06,1
36,17,50,32.56,15.48,16.28,1
37,1,50,16.68,15.66,0.58,0
37,2,50,13.7,12.24,1.08,0
37,3,50,13.58,11.88,1.44,0
37,4,50,13.4,10.7,2.3,0
37,5,50,13.28,9.92,3.02,0
37,6,50,13.32,9.68,3.38,0
37,7,50,13.34,9.14,3.9,0.06
37,8,50,13.38,8.28,4.82,0.14
37,9,50,13.66,7.72,5.58,0.32
37,10,50,14.36,7.68,6.26,0.42
37,11,50,15.5,8.02,7.18,0.64
37,12,50,17.56,8.68,8.52,0.82
37,13,50,19.38,9.42,9.56,0.88
37,14,50,21.84,10.48,10.9,0.98
37,15,50,25.44,12.16,12.72,1
37,16,50,29.12,14,14.56,1
37,17,50,31.44,14.9,15.72,1
37,18,50,35.96,17.02,17.98,1
38,1,50,18.08,17,0.58,0
38,2,50,15.44,13.88,1.1,0
38,3,50,14.72,12.34,1.98,0
38,4,50,14.28,11.48,2.42,0
38,5,50,14.4,11.1,2.98,0
38,6,50,14.34,10.52,3.48,0
38,7,50,14.4,10,4.16,0
38,8,50,14.36,9.3,4.86,0.06
38,9,50,14.6,8.8,5.46,0.16
38,10,50,14.86,8.52,5.96,0.28
38,11,50,15.82,8.54,6.9,0.4
38,12,50,16.88,8.58,7.94,0.68
38,13,50,18.78,9.28,9.16,0.82
38,14,50,20.44,9.94,10.1,0.92
38,15,50,24.2,11.54,12.08,0.98
38,16,50,27.44,13.04,13.72,1
38,17,50,30.52,14.48,15.26,1
38,18,50,33.08,15.68,16.54,1
39,1,50,17.62,16.48,0.76,0
39,2,50,15.98,14.32,1.28,0
39,3,50,15.5,13.38,1.78,0
39,4,50,15.18,12.34,2.58,0
39,5,50,15.3,11.86,3.08,0
39,6,50,15.3,11.28,3.7,0
39,7,50,15.26,10.8,4.06,0
39,8,50,15.4,10.14,4.96,0.02
39,9,50,15.34,9.48,5.5,0.04
39,10,50,15.44,9.14,6.02,0.16
39,11,50,16.1,8.78,6.94,0.36
39,12,50,17.7,9.04,8.22,0.64
39,13,50,19.6,9.5,9.62,0.9
39,14,50,21.02,10.28,10.36,0.92
39,15,50,24.12,11.66,12.02,0.96
39,16,50,25.88,12.36,12.94,1
39,17,50,30.52,14.5,15.26,1
39,18,50,33.96,16.18,16.98,1
39,19,50,38,18.04,19,1
40,1,50,18.78,17.6,0.7,0
40,2,50,17.42,15.7,1.26,0
40,3,50,16.3,14.04,2.04,0
40,4,50,16.38,13.38,2.54,0
40,5,50,16.34,12.98,2.96,0
40,6,50,16.38,12.24,3.66,0
40,7,50,16.42,11.76,4.32,0
40,8,50,16.44,10.74,5.24,0.02
40,9,50,16.36,10.5,5.56,0.04
40,10,50,16.36,9.62,6.38,0.1
40,11,50,16.56,9.42,6.8,0.22
40,12,50,17.44,9.04,7.98,0.54
40,13,50,18.86,9.48,9,0.7
40,14,50,20.26,10.16,9.7,0.78
40,15,50,23.04,11.34,11.22,0.8
40,16,50,25.48,12.12,12.72,0.98
40,17,50,29.06,13.9,14.5,0.98
40,18,50,31.56,15.16,15.78,1
40,19,50,36.36,17.3,18.18,1
