n_players,n_werewolves,n_sims,remaining_players,remaining_townspeople,remaining_werewolves,werewolf_win_percent
3,1,50,2,0,0.86,1
4,1,50,2.08,0.56,0.76,0.82
5,1,50,2.32,0.82,0.64,0.66
5,2,50,3.8,0.58,1.82,0.96
6,1,50,2.58,1.16,0.46,0.48
6,2,50,2.92,0.76,1.24,0.84
7,1,50,3.1,1.84,0.44,0.46
7,2,50,3.12,0.96,1.48,0.94
7,3,50,5.76,1.44,2.88,1
8,1,50,3.12,1.84,0.48,0.48
8,2,50,3.14,1.24,1.36,0.84
8,3,50,4.96,1.64,2.48,1
9,1,50,3.36,2.26,0.52,0.52
9,2,50,3.02,1.44,1.04,0.72
9,3,50,4.64,1.5,2.22,0.92
9,4,50,7.88,2.42,3.94,1
10,1,50,3.48,2.28,0.5,0.5
10,2,50,3.1,1.64,1.02,0.68
10,3,50,4.12,1.42,1.94,0.88
10,4,50,6.64,2.18,3.32,1
11,1,50,3.26,2.1,0.56,0.56
11,2,50,3.18,1.72,1.08,0.72
11,3,50,4.56,1.86,2.08,0.88
11,4,50,6.2,2.24,3.1,1
11,5,50,9.72,3.16,4.86,1
12,1,50,4.64,3.54,0.36,0.36
12,2,50,3.1,1.64,1.04,0.74
12,3,50,3.82,1.66,1.72,0.86
12,4,50,5.74,2.16,2.76,0.92
12,5,50,9.12,3.34,4.54,0.98
13,1,50,4.62,3.54,0.44,0.44
13,2,50,3.6,2.2,1.04,0.68
13,3,50,4.18,1.86,1.98,0.94
13,4,50,5.36,2.26,2.54,0.92
13,5,50,8.32,3.02,4.14,0.98
13,6,50,11.56,4.14,5.78,1
14,1,50,4.76,3.62,0.36,0.36
14,2,50,3.16,1.96,0.88,0.62
14,3,50,3.74,1.8,1.62,0.82
14,4,50,4.76,2,2.24,0.9
14,5,50,7.42,2.94,3.68,0.98
14,6,50,9.84,3.76,4.9,0.98
15,1,50,4.98,3.88,0.44,0.44
15,2,50,3.54,2.32,0.8,0.58
15,3,50,3.66,1.8,1.38,0.76
15,4,50,5.06,2.08,2.46,0.94
15,5,50,7.52,3.08,3.76,1
15,6,50,9.88,3.88,4.94,1
15,7,50,13.64,5.16,6.82,1
16,1,50,5.5,4.46,0.3,0.3
16,2,50,3.12,2.14,0.58,0.5
16,3,50,3.86,1.92,1.5,0.8
16,4,50,4.96,2.24,2.4,0.94
16,5,50,6.66,2.8,3.2,0.94
16,6,50,9.32,3.7,4.66,1
16,7,50,12.4,4.82,6.2,1
17,1,50,5.4,4.28,0.48,0.48
17,2,50,3.76,2.6,0.82,0.64
17,3,50,4,2.1,1.6,0.84
17,4,50,4.94,2.18,2.4,0.96
17,5,50,7,3,3.48,0.98
17,6,50,9.14,3.72,4.5,0.94
17,7,50,11.92,4.84,5.96,1
17,8,50,15.8,6.08,7.9,1
18,1,50,5.36,4.48,0.28,0.28
18,2,50,3.44,2.22,0.9,0.64
18,3,50,3.1,1.56,1.2,0.78
18,4,50,4.6,2.26,2.14,0.9
18,5,50,6.52,2.76,3.18,0.94
18,6,50,7.98,3.4,3.92,0.94
18,7,50,10.8,4.44,5.4,1
18,8,50,13.72,5.64,6.86,1
19,1,50,7.14,6.02,0.34,0.34
19,2,50,3.82,2.66,0.74,0.58
19,3,50,3.94,2,1.66,0.88
19,4,50,4.92,2.48,1.98,0.82
19,5,50,7,3.08,3.44,0.98
19,6,50,8.06,3.5,3.98,0.96
19,7,50,11.44,4.78,5.72,1
19,8,50,14.32,5.94,7.16,1
19,9,50,18,7.2,9,1
20,1,50,6.98,6,0.3,0.3
20,2,50,3.6,2.78,0.58,0.5
20,3,50,3.7,2.26,1.24,0.72
20,4,50,4.36,2.22,1.82,0.82
20,5,50,5.52,2.48,2.64,0.94
20,6,50,8.28,3.52,4.1,0.98
20,7,50,10.28,4.46,5.14,1
20,8,50,12.64,5.16,6.3,0.98
20,9,50,16.04,6.52,8.02,1
21,1,50,6.14,5.34,0.36,0.36
21,2,50,4.92,3.78,0.56,0.38
21,3,50,4.26,2.66,1.16,0.66
21,4,50,5.1,2.7,2.18,0.84
21,5,50,5.34,2.58,2.5,0.88
21,6,50,7.92,3.5,3.9,0.96
21,7,50,9.52,4.1,4.76,1
21,8,50,12.76,5.4,6.38,1
