n_players,n_werewolves,n_sims,remaining_players,remaining_townspeople,remaining_werewolves,werewolf_win_percent
3,1,50,2,0.32,0.98,0.98
4,1,50,2.1,1.02,0.56,0.56
5,1,50,2.22,1.04,0.76,0.76
5,2,50,3.84,1.18,1.88,0.96
6,1,50,2.62,1.76,0.42,0.42
6,2,50,3.36,1.22,1.56,0.9
7,1,50,3.06,2.1,0.46,0.46
7,2,50,3.44,1.4,1.6,0.94
7,3,50,5.74,2.24,2.84,0.98
8,1,50,3.12,2.26,0.46,0.46
8,2,50,2.96,1.38,1.3,0.86
8,3,50,4.76,1.88,2.34,0.96
9,1,50,3.38,2.66,0.46,0.46
9,2,50,3.2,1.62,1.3,0.76
9,3,50,4.76,2.14,2.36,0.98
9,4,50,7.8,3.02,3.9,1
10,1,50,3,2.16,0.52,0.52
10,2,50,3.14,1.86,0.94,0.64
10,3,50,4.48,1.98,2.12,0.9
10,4,50,6.56,2.66,3.28,1
11,1,50,3.98,3.08,0.56,0.56
11,2,50,3.02,1.74,1.12,0.8
11,3,50,4.22,2.08,1.94,0.92
11,4,50,6.08,2.56,3.04,1
11,5,50,9.92,4.16,4.96,1
12,1,50,4.54,3.74,0.34,0.34
12,2,50,3.34,2.04,1.02,0.66
12,3,50,3.7,1.86,1.56,0.76
12,4,50,5.56,2.42,2.64,0.92
12,5,50,8.24,3.64,4.06,0.94
13,1,50,4.48,3.7,0.44,0.44
13,2,50,3.2,1.98,0.98,0.72
13,3,50,3.9,1.98,1.7,0.84
13,4,50,5.76,2.58,2.86,0.98
13,5,50,8.36,3.66,4.16,0.98
13,6,50,11.96,5.14,5.98,1
14,1,50,4.46,3.82,0.36,0.36
14,2,50,3.06,2.16,0.7,0.52
14,3,50,3.58,1.98,1.46,0.76
14,4,50,5.54,2.64,2.64,0.92
14,5,50,7.68,3.38,3.8,0.96
14,6,50,10.32,4.56,5.16,1
15,1,50,4.5,3.7,0.38,0.38
15,2,50,3.5,2.34,0.94,0.64
15,3,50,3.3,1.6,1.48,0.88
15,4,50,5.28,2.46,2.54,0.94
15,5,50,7.88,3.68,3.88,0.96
15,6,50,10.76,4.82,5.38,1
15,7,50,13.84,6.08,6.92,1
16,1,50,4.9,4.3,0.4,0.4
16,2,50,3.68,2.68,0.82,0.62
16,3,50,3.82,2.26,1.38,0.72
16,4,50,4.36,2.2,2,0.86
16,5,50,6.44,3.06,3.06,0.9
16,6,50,9.48,4.26,4.74,1
16,7,50,12.64,5.66,6.32,1
17,1,50,5.18,4.54,0.36,0.36
